zip,new_small,new_medium,new_large,expansion_slots,new_u5_slots,supply_total,requirement,u5_req,u5_exist
10167,0,0,0,0,0,0,0.0,0.0,0.0
10168,0,0,0,0,0,0,0.0,0.0,0.0
10169,0,0,0,0,0,0,0.0,0.0,0.0
10170,0,0,0,0,0,0,0.0,0.0,0.0
10171,0,0,0,0,0,0,0.0,0.0,0.0
10172,0,0,0,0,0,0,0.0,0.0,0.0
10173,0,0,0,0,0,0,0.0,0.0,0.0
10174,0,0,0,0,0,0,0.0,0.0,0.0
10177,0,0,0,0,0,0,0.0,0.0,0.0
10199,0,0,0,0,0,0,0.0,0.0,0.0
10271,0,0,0,0,0,0,0.0,0.0,0.0
10278,0,0,0,0,0,0,0.0,0.0,0.0
10279,0,0,0,0,0,0,0.0,0.0,0.0
10280,0,0,0,212,212,721,210.06666666666666,212.0,0.0
10282,0,0,0,279,279,558,446.0,278.66666666666663,0.0
10301,0,0,0,1844,1844,3749,2044.5333333333333,1853.3333333333333,10.0
10302,0,0,1,692,892,1836,1662.0,892.0,0.0
10303,0,0,0,842,842,2471,2152.3,841.3333333333333,0.0
10304,0,0,0,1449,1449,3469,2310.133333333333,1489.3333333333333,41.0
10305,0,0,2,702,1102,2288,1753.9333333333334,1102.0,0.0
10306,0,0,6,538,1738,3516,2642.5999999999995,1737.3333333333333,0.0
10307,0,0,3,132,732,1591,735.3999999999999,732.0,0.0
10308,0,0,2,338,738,1569,1296.1999999999998,737.3333333333333,0.0
10309,0,0,5,291,1291,2588,1791.8666666666668,1290.6666666666665,0.0
10310,0,0,2,1045,1445,3013,1586.4666666666665,1444.6666666666665,0.0
10311,0,0,0,0,0,123,0.0,0.0,0.0
10312,0,0,7,1038,2438,4978,3362.333333333333,2445.333333333333,8.0
10314,0,1,11,1213,3513,7467,4821.466666666666,3512.6666666666665,0.0
10451,0,0,0,2330,2330,5617,4619.3,2329.333333333333,0.0
10452,0,1,18,0,3641,14384,7720.7,3640.6666666666665,0.0
10453,0,0,0,3651,3651,10492,7827.9,3650.6666666666665,0.0
10454,0,0,0,1914,1914,5077,3968.3,1913.3333333333333,0.0
10455,0,0,0,1672,1672,4707,4246.5,1671.3333333333333,0.0
10456,0,0,0,4479,4479,11421,8511.0,4478.666666666666,0.0
10457,0,0,0,4524,4524,11083,8633.2,4523.333333333333,0.0
10458,0,0,0,3724,3724,8381,7807.9,3723.333333333333,0.0
10459,0,0,0,2649,2649,6667,4930.8,2648.6666666666665,0.0
10460,0,0,0,2656,2656,7476,5406.8,2655.333333333333,0.0
10461,0,0,3,1298,1834,3960,3960.0,1833.3333333333333,0.0
10462,0,0,2,3321,3721,7546,6681.7,3720.6666666666665,0.0
10463,0,0,0,2969,2969,7218,3563.133333333333,2968.6666666666665,0.0
10464,0,0,0,59,50,173,172.86666666666667,50.0,0.0
10465,0,0,2,1779,2179,4467,2402.133333333333,2178.6666666666665,0.0
10466,0,0,0,2929,2929,6121,5980.6,2928.6666666666665,0.0
10467,0,0,0,4228,4228,10448,8542.2,4227.333333333333,0.0
10468,0,0,2,4048,4448,9156,7825.9,4447.333333333333,0.0
10469,0,0,4,2189,2989,6104,5490.3,2988.6666666666665,0.0
10470,0,1,1,574,874,1806,1077.1,874.0,0.0
10471,0,0,2,277,677,1361,836.0666666666666,676.6666666666666,0.0
10472,0,0,1,3348,3548,7325,6195.2,3547.333333333333,0.0
10473,0,0,0,2495,2495,6043,4850.7,2494.6666666666665,0.0
10474,0,0,0,668,668,1862,1300.7,667.3333333333333,0.0
10475,0,1,1,1777,2077,4185,3228.1,2076.6666666666665,0.0
10501,1,0,0,0,11,100,42.46666666666666,10.666666666666666,0.0
10502,0,0,0,215,215,488,335.5333333333333,214.66666666666666,0.0
10503,0,0,0,0,0,0,0.0,0.0,0.0
10504,0,0,0,0,0,706,490.8,347.3333333333333,547.0
10505,1,0,0,0,30,100,81.8,29.333333333333332,0.0
10506,0,0,1,11,211,491,382.4666666666667,210.66666666666666,0.0
10507,0,0,0,134,133,354,354.0,283.3333333333333,151.0
10509,0,0,0,0,0,1015,980.3999999999999,735.3333333333333,793.0
10510,0,0,0,0,0,704,476.73333333333335,250.0,378.0
10511,0,0,0,80,80,152,100.73333333333332,79.33333333333333,0.0
10512,0,0,2,226,626,1256,967.3999999999999,751.3333333333333,126.0
10514,0,0,0,223,64,808,807.3999999999999,488.0,424.0
10516,0,0,0,76,42,239,238.9333333333333,188.66666666666666,147.0
10517,0,0,0,8,8,122,5.066666666666666,7.333333333333333,0.0
10518,1,0,0,0,8,100,25.6,7.333333333333333,0.0
10519,1,0,0,0,0,100,7.799999999999999,0.0,0.0
10520,0,0,0,0,0,847,622.4666666666667,412.0,544.0
10522,0,0,0,135,93,574,573.5999999999999,394.66666666666663,302.0
10523,0,0,0,49,49,782,526.8,456.0,407.0
10524,0,1,0,0,88,216,168.86666666666667,87.33333333333333,0.0
10526,0,1,0,0,54,200,82.79999999999998,54.0,0.0
10527,0,0,0,0,0,64,35.7,10.0,64.0
10528,0,0,0,103,41,793,792.9333333333334,524.0,483.0
10530,0,0,0,416,416,821,582.0666666666666,578.0,162.0
10532,0,0,0,22,22,403,236.26666666666665,192.66666666666666,171.0
10533,0,0,1,71,271,628,575.4666666666667,358.66666666666663,88.0
10535,0,0,0,5,5,105,5.3,4.666666666666666,0.0
10536,0,0,0,321,108,636,635.5333333333333,343.3333333333333,236.0
10537,0,1,0,0,67,200,147.0,66.66666666666666,0.0
10538,0,0,1,417,437,1272,1271.1999999999998,808.6666666666666,372.0
10540,0,0,0,0,0,220,5.199999999999999,0.0,140.0
10541,0,0,0,315,278,1273,1272.1333333333332,866.0,588.0
10542,0,0,0,0,0,0,0.0,0.0,0.0
10543,0,0,0,370,362,1237,1236.2666666666667,761.3333333333333,400.0
10545,1,0,0,0,0,100,2.6666666666666665,0.0,0.0
10546,1,0,0,0,32,100,62.099999999999994,31.333333333333332,0.0
10547,0,0,0,0,0,817,335.19999999999993,246.66666666666666,497.0
10548,1,0,0,91,141,312,199.9333333333333,202.0,61.0
10549,0,0,0,346,346,1080,882.1999999999999,930.0,584.0
10550,0,0,3,735,1114,3097,3096.7,1418.0,304.0
10552,0,0,0,517,517,1113,839.6,688.6666666666666,172.0
10553,0,0,1,92,292,648,606.6,292.0,0.0
10560,0,0,1,56,256,585,288.1333333333333,255.33333333333331,0.0
10562,0,0,0,599,599,2336,1364.8666666666666,1171.3333333333333,573.0
10566,0,0,0,314,314,1176,961.9333333333334,693.3333333333333,380.0
10567,0,1,2,172,672,1387,999.8666666666666,756.6666666666666,85.0
10570,0,0,0,322,301,638,637.1333333333333,439.3333333333333,139.0
10573,0,0,0,998,998,2555,1975.3333333333333,1498.6666666666665,501.0
10576,1,0,0,16,66,156,153.13333333333333,65.33333333333333,0.0
10577,0,0,0,0,0,365,125.6,141.33333333333331,336.0
10578,0,1,0,0,19,200,128.26666666666665,18.666666666666664,0.0
10579,0,0,0,76,55,306,306.0,132.66666666666666,78.0
10580,0,0,1,333,276,1143,1142.4666666666665,534.0,258.0
10583,0,0,0,772,105,2548,2547.4666666666662,1454.0,1349.0
10588,0,0,1,15,215,456,189.0,214.66666666666666,0.0
10589,0,0,0,142,63,352,351.5,121.33333333333333,59.0
10590,0,0,0,102,53,347,346.8666666666666,216.0,163.0
10591,0,0,0,325,325,1861,1066.0666666666666,909.3333333333333,585.0
10594,1,0,1,0,240,532,317.2,239.33333333333331,0.0
10595,0,0,0,0,0,740,262.8666666666667,237.33333333333331,605.0
10596,1,0,0,0,10,100,18.799999999999997,9.333333333333332,0.0
10597,1,0,0,0,6,100,58.7,5.333333333333333,0.0
10598,0,0,0,0,0,1592,1415.4666666666665,851.3333333333333,1049.0
10601,0,0,0,55,0,339,338.2,220.0,229.0
10603,0,0,2,312,712,1434,1018.1333333333333,770.0,58.0
10604,0,0,0,46,46,773,766.7333333333332,471.3333333333333,426.0
10605,0,0,0,0,0,2123,872.1999999999999,652.6666666666666,1454.0
10606,0,0,0,80,80,1003,756.1333333333333,627.3333333333333,548.0
