candidate_idx,zipcode,size,capacity_add,u5_add,latitude,longitude
45520,11414,large,400,200,40.66305650803285,-73.84906029372009
45537,11414,large,400,200,40.66260194326353,-73.84652555867184
45553,11414,large,400,200,40.65173859926681,-73.83975382170993
45584,11414,large,400,200,40.65137474224615,-73.83674835576777
45614,11415,large,400,200,40.70290652661546,-73.82355576363962
45617,11415,large,400,200,40.71449587474008,-73.83839787382666
45622,11415,large,400,200,40.70601674204614,-73.82703283967746
45695,11415,large,400,200,40.69880591325953,-73.82432640937792
45709,11416,large,400,200,40.68906872104471,-73.86002470861713
45730,11416,large,400,200,40.68693237958466,-73.85313571059265
45742,11416,large,400,200,40.6800651031236,-73.85852436141528
45761,11416,large,400,200,40.69036247141712,-73.86042131665693
45778,11416,large,400,200,40.69000830274363,-73.84482136723183
45797,11416,large,400,200,40.68583975034793,-73.84161395435973
45802,11417,large,400,200,40.66774917539976,-73.84186904988327
45824,11417,large,400,200,40.67723174261252,-73.8356565598747
45826,11417,large,400,200,40.674773680324,-73.84122826129214
45850,11417,large,400,200,40.67108137212115,-73.84719998110393
45851,11417,large,400,200,40.686358587239695,-73.84713007583602
45852,11417,large,400,200,40.68210964620814,-73.85178857035825
45868,11417,medium,200,100,40.68035065664834,-73.85344895782454
45901,11418,large,400,200,40.69071797290138,-73.84196957200238
45908,11418,large,400,200,40.69564794184365,-73.83649410014168
45911,11418,large,400,200,40.70040343146618,-73.84266884379048
45914,11418,large,400,200,40.69461367122791,-73.84363556206553
45915,11418,large,400,200,40.68980231340257,-73.83837512074915
45940,11418,large,400,200,40.69158520906087,-73.83053500914855
45970,11418,large,400,200,40.69833465323286,-73.83715268940009
46002,11419,large,400,200,40.68708432756171,-73.83204909550768
46003,11419,large,400,200,40.67980019561436,-73.81385910440711
46023,11419,large,400,200,40.68025409727791,-73.81963448528153
46026,11419,large,400,200,40.69119526000402,-73.82535819756271
46047,11419,large,400,200,40.68884309646462,-73.82421633996651
46049,11419,large,400,200,40.67963283696332,-73.82584065659276
46108,11420,large,400,200,40.68186403998714,-73.82624670322052
46109,11420,large,400,200,40.67036139430747,-73.82896853163793
46110,11420,large,400,200,40.670642536904616,-73.82487757385127
46120,11420,large,400,200,40.67323440860995,-73.8127353722142
46156,11420,large,400,200,40.66515120197848,-73.82438756929363
46166,11420,large,400,200,40.66655903229877,-73.81295297734131
46167,11420,large,400,200,40.66735052524445,-73.81360266113703
46168,11420,large,400,200,40.68139750776555,-73.81026346264078
46200,11421,large,400,200,40.69983518374519,-73.85427145026136
46203,11421,large,400,200,40.688425609854576,-73.86682069001058
46205,11421,large,400,200,40.697203954932014,-73.85817881924731
46223,11421,large,400,200,40.70080125968639,-73.85866346301421
46224,11421,large,400,200,40.6813656178695,-73.86509029758011
46253,11421,large,400,200,40.70109240664924,-73.86635226286299
46254,11421,large,400,200,40.69967650502298,-73.86024167751505
46257,11421,large,400,200,40.69802743593792,-73.85517529887706
46356,11422,large,400,200,40.65569742887112,-73.73884529422581
46358,11422,large,400,200,40.672019624593226,-73.72905528139442
46360,11422,large,400,200,40.67204647218204,-73.72603632976444
46361,11422,large,400,200,40.67127336300066,-73.73542419085543
46401,11423,large,400,200,40.70551443233886,-73.7658118679666
46424,11423,large,400,200,40.71759920591318,-73.76966199536508
46446,11423,large,400,200,40.71875611838146,-73.76895496211608
